PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Bertagnolli Alexander,2343,Novkovic Milan,2380,Bertagnolli, Alexander
Schmidlechner Alexander,2217,Levushkina Elena,2299,Levushkina, Elena
Koepke Christian,2322,Klocker Benedikt,2192,Koepke, Christian
Kanonier Clemens,2117,Rusche Johannes,2274,Rusche, Johannes
Kranewitter Norbert,2049,Ruescher Christian,2093,Kranewitter, Norbert
Ausserer Felix,1901,Anibas Juergen,1955,DRAW
