PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Zelcic Robert,2553,Froewis Georg,2434,WHITE
Baldauf Marco,2420,Krstic Uros,2428,DRAW
Brumen Dinko,2359,Kessler Luca,2324,WHITE
Novkovic Milan,2380,Roeberg Frank,2249,DRAW
Ljubic Juro,2213,Sandholzer Robert,2175,BLACK
Hofer Emilian,2219,Stoeckl Norbert,2094,WHITE
