PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Eybl Alexander,2240,Drabke Lorenz,2462,Drabke, Lorenz
Novkovic Milan,2380,Sucher Johannes,2169,Novkovic, Milan
Matt Stefan,2094,Schmidlechner Alexander,2217,DRAW
Ulmer Hanno,2105,Nedelchev Nikolay,2008,Ulmer, Hanno
Niedermair Hannes,1990,Proyer Enno,1906,Proyer, Enno
Ausserer Felix,1901,Nussbaumer Leon,1890,Nussbaumer, Leon
