PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Graf Felix,2478,Zelbel Patrick,2441,Graf, Felix
Berchtenbreiter Maximilian,2384,Dobosz Henryk,2389,DRAW
Jorczik Julian,2385,Nuber Blasius,2349,DRAW
Wachinger Guenther,2233,Tuncer Ufuk,2332,Tuncer, Ufuk
Weindl Alfred,2331,Niedermeier Thomas,2194,Weindl, Alfred
Meier Alexander,2186,Bezler Rainer,2215,Meier, Alexander
