PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Froewis Georg,2434,Palac Mladen,2581,Palac, Mladen
Zelcic Robert,2553,Baldauf Marco,2420,DRAW
Studer Noël,2405,Krstic Uros,2428,Krstic, Uros
Brumen Dinko,2359,Amann Guenter,2347,Brumen, Dinko
Gaertner Guntram,2226,Biti Ozren,2353,Gaertner, Guntram
Stajner Samo,2351,Atlas Dmitry,2220,Atlas, Dmitry
