PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Krivoborodov Egor,2522,Quintero Ortega Carlos,2190,Krivoborodov, Egor
Gauss Gustav,2182,Harringer Franz,2239,Gauss, Gustav
Besner Bernhard,2211,Gretz Denis,2073,Gretz, Denis
Scheffknecht Philipp,2152,Roth Peter,2119,DRAW
Juergens Klaus,2161,Bacquele Fabrice,1964,Juergens, Klaus
Ferk Martin,1938,Scheiblmaier Robert,2186,Scheiblmaier, Robert
