PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Palac Mladen,2561,Dovzik Juri,2335,DRAW
Riediger Martin,2264,Krstic Uros,2439,DRAW
Biti Ozren,2376,Knechtel Roland,2205,DRAW
Spiesberger Gerhard,2098,Brumen Dinko,2358,BLACK
Ljubic Juro,2227,Kuecher Wolfgang,2079,DRAW
Fruehauf Norbert,2055,Bjelosevic Bozo,2095,BLACK
