PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Nestorovic Nikola,2470,Krivoborodov Egor,2522,DRAW
Westermeier Arnulf,2266,Velickovic Zoran,2398,DRAW
Schramm Christian,2397,Harringer Franz,2239,Schramm, Christian
Besner Bernhard,2211,Pitl Gregory,2387,Pitl, Gregory
Durakovic Alman,2314,Scheiblmaier Robert,2186,DRAW
Juergens Klaus,2161,Huch Reiner,2277,DRAW
