PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Drabke Lorenz,2462,Froewis Georg,2434,Froewis, Georg
Baldauf Marco,2420,Vogel Roven,2408,DRAW
Novkovic Milan,2380,Studer Noël,2405,Novkovic, Milan
Amann Guenter,2347,Schmidlechner Alexander,2217,Schmidlechner, Alexander
Klocker Benedikt,2192,Gaertner Guntram,2226,Klocker, Benedikt
Atlas Dmitry,2220,Leutwyler Martin,2190,Atlas, Dmitry
