PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Kessler Luca,2324,Froewis Georg,2434,Kessler, Luca
Baldauf Marco,2420,Bilchinski Anton,2260,Baldauf, Marco
Mittelberger Peter,2203,Studer Noël,2405,Studer, Noël
Amann Guenter,2347,Quintero Ortega Carlos,2190,Amann, Guenter
Gauss Gustav,2182,Gaertner Guntram,2226,DRAW
Atlas Dmitry,2220,Scheffknecht Philipp,2152,Atlas, Dmitry
