PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Berchtenbreiter Maximilian,2384,Bertagnolli Alexander,2343,Berchtenbreiter, Maximilian
Levushkina Elena,2299,Nuber Blasius,2349,DRAW
Heinrich Thomas,2144,Koepke Christian,2322,Koepke, Christian
Rusche Johannes,2274,Hajdarevic Dino,2135,Rusche, Johannes
Georgiev Georgi,2107,Kranewitter Norbert,2049,DRAW
Anibas Juergen,1955,Niedermeier Thomas,2194,Niedermeier, Thomas
