PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Krivoborodov Egor,2522,Krstic Uros,2428,Krivoborodov, Egor
Roeberg Frank,2249,Westermeier Arnulf,2266,DRAW
Harringer Franz,2239,Ruecker Benjamin,2269,Ruecker, Benjamin
Ljubic Juro,2213,Besner Bernhard,2211,Ljubic, Juro
Juergens Klaus,2161,Stoeckl Norbert,2094,DRAW
Cardaklija Mirsad,2060,Herrmann Michael,2103,DRAW
