PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Zelcic Robert,2541,Wegener Olaf,2437,DRAW
Roeberg Frank,2226,Zimmermann Ulrich,2272,BLACK
Pogan Nikolas,2293,Hecht Hans-Joachim,2340,DRAW
Ljubic Juro,2227,Hoellrigl Wilfried,2183,DRAW
Jedinger Andreas,2169,Hajdarevic Dino,2098,DRAW
