PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Medvegy Zoltan,2526,Nuber Blasius,2349,WHITE
Wachinger Guenther,2233,Konnyu Janos,2339,DRAW
Dovzik Juri,2303,Niedermeier Thomas,2194,DRAW
Hajdarevic Dino,2135,Webersberger Johann,2376,BLACK
Ager Josef,2109,Heinrich Thomas,2144,BLACK
Georgiev Georgi,2107,Riediger Martin,2262,BLACK
