PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Wegener Olaf,2441,Nestorovic Nikola,2470,Nestorovic, Nikola
Velickovic Zoran,2398,Spornberger Maximilian,2347,DRAW
Hengl Christian,2245,Schramm Christian,2397,Schramm, Christian
Pitl Gregory,2387,Gatterer Florian,2223,DRAW
Moroder Stefan,2159,Durakovic Alman,2314,Durakovic, Alman
Huch Reiner,2277,Hoellrigl Wilfried,2153,DRAW
