PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Medvegy Zoltan,2516,Burschowsky Matthias,2186,DRAW
Sucher Johannes,2198,Dovzik Juri,2335,BLACK
Menacher Manfred,2263,Meier Alexander,2165,DRAW
Lins Philipp,2067,Ager Josef,2167,BLACK
Riediger Martin,2264,Praxmarer Christian,1989,DRAW
Riha Alexander,2037,Kuecher Wolfgang,2079,DRAW
