PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Doskocil Klaus,2251,Graf Felix,2478,Doskocil, Klaus
Dobosz Henryk,2389,Eybl Alexander,2240,DRAW
Sucher Johannes,2169,Jorczik Julian,2385,DRAW
Tuncer Ufuk,2332,Matt Stefan,2094,Tuncer, Ufuk
Lins Philipp,2044,Weindl Alfred,2331,DRAW
Bezler Rainer,2215,Nedelchev Nikolay,2008,Bezler, Rainer
