PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Bertagnolli Alexander,2343,Palac Mladen,2581,DRAW
Zelcic Robert,2553,Koepke Christian,2322,DRAW
Levushkina Elena,2299,Krstic Uros,2428,DRAW
Brumen Dinko,2359,Prediger Ruppert,2279,Brumen, Dinko
Rusche Johannes,2274,Biti Ozren,2353,DRAW
Stajner Samo,2351,Maurer Jochen,2254,DRAW
