PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Drabke Lorenz,2462,Zelbel Patrick,2441,Drabke, Lorenz
Berchtenbreiter Maximilian,2384,Vogel Roven,2408,DRAW
Novkovic Milan,2380,Nuber Blasius,2349,DRAW
Wachinger Guenther,2233,Schmidlechner Alexander,2217,Schmidlechner, Alexander
Klocker Benedikt,2192,Niedermeier Thomas,2194,Klocker, Benedikt
Meier Alexander,2186,Leutwyler Martin,2190,DRAW
