PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Froewis Georg,2434,Nestorovic Nikola,2470,DRAW
Velickovic Zoran,2398,Baldauf Marco,2420,Baldauf, Marco
Studer Noël,2405,Schramm Christian,2397,Studer, Noël
Pitl Gregory,2387,Amann Guenter,2347,DRAW
Gaertner Guntram,2226,Durakovic Alman,2314,DRAW
Huch Reiner,2277,Atlas Dmitry,2220,DRAW
