PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Medvegy Zoltan,2516,Arnaudov Petar,2451,WHITE
Schenk Andreas,2493,Konnyu Janos,2314,WHITE
Dovzik Juri,2335,Pitl Gregory,2397,WHITE
Durakovic Alman,2272,Riediger Martin,2264,DRAW
Knechtel Roland,2205,Huch Reiner,2334,BLACK
Pflug Mathias,2298,Kuecher Wolfgang,2079,WHITE
