PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Wegener Olaf,2441,Graf Felix,2478,DRAW
Dobosz Henryk,2389,Spornberger Maximilian,2347,DRAW
Hengl Christian,2245,Jorczik Julian,2385,DRAW
Tuncer Ufuk,2332,Gatterer Florian,2223,Tuncer, Ufuk
Moroder Stefan,2159,Weindl Alfred,2331,Weindl, Alfred
Bezler Rainer,2215,Hoellrigl Wilfried,2153,Bezler, Rainer
