PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Krassowizkij Jaroslaw,2408,Schramm Christian,2397,WHITE
Durakovic Alman,2314,Eisenbeiser Amadeus,2365,BLACK
Anistratov Dmitrij,2305,Huch Reiner,2277,WHITE
Pflug Mathias,2259,Mittelberger Peter,2203,DRAW
Quintero Ortega Carlos,2190,Huber Wolfgang,2007,WHITE
Prodinger Johannes,1911,Scheffknecht Philipp,2152,WHITE
