PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Hertneck Gerald,2465,Thoma Robert,2350,DRAW
Leutwyler Martin,2190,Kaspret Guido,2308,DRAW
Wuppinger Manfred,2073,Novkovic Julia,2156,WHITE
Kanonier Clemens,2117,Egger Martin,2061,BLACK
Baier Patrick,1954,Proyer Enno,1906,WHITE
Ruescher Christian,2093,Kampl Walter,1890,WHITE
