PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Graf Felix,2478,Bertagnolli Alexander,2343,Graf, Felix
Koepke Christian,2322,Jorczik Julian,2385,Koepke, Christian
Weindl Alfred,2331,Maurer Jochen,2254,DRAW
Rusche Johannes,2274,Dobosz Henryk,2389,Dobosz, Henryk
Bezler Rainer,2215,Atzl Florian,1918,Bezler, Rainer
Anibas Juergen,1955,Poettinger Harald,2212,DRAW
