PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Berchtenbreiter Maximilian,2384,Spornberger Maximilian,2347,Berchtenbreiter, Maximilian
Gatterer Florian,2223,Nuber Blasius,2349,Nuber, Blasius
Heinrich Thomas,2144,Spornberger Andre,2108,Spornberger, Andre
Hengl Christian,2245,Georgiev Georgi,2107,DRAW
Thoeny Hermann,2072,Hoellrigl Wilfried,2153,Hoellrigl, Wilfried
Jedinger Andreas,2105,Irschick Christoph,2003,Jedinger, Andreas
