PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Bayer Bernhard,2444,Milanovic Danilo,2506,WHITE
Drabke Lorenz,2459,Panteleev Petar,2306,WHITE
Fuchs Georg,2230,Novkovic Julia,2110,WHITE
Kanonier Clemens,2112,Gruber Michael,2205,WHITE
Kondrak Christof,2165,Scheffknecht Philipp,2124,DRAW
Gsteu Peter,2146,Binder Moriz,2044,BLACK
