PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Bertagnolli Alexander,2343,Votava Jan,2524,Bertagnolli, Alexander
Lanka Zigurds,2422,Koepke Christian,2322,Koepke, Christian
Levushkina Elena,2299,Platzgummer Fabian,2332,Platzgummer, Fabian
Hausner Ivan,2332,Prediger Ruppert,2279,Hausner, Ivan
Rusche Johannes,2274,Tabernig Bernhard,2328,DRAW
Kleissl Helmut,2295,Maurer Jochen,2254,Maurer, Jochen
