PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Kessler Luca,2324,Nestorovic Nikola,2470,DRAW
Velickovic Zoran,2398,Bilchinski Anton,2260,Bilchinski, Anton
Mittelberger Peter,2203,Schramm Christian,2397,DRAW
Pitl Gregory,2387,Quintero Ortega Carlos,2190,Pitl, Gregory
Gauss Gustav,2182,Durakovic Alman,2314,Gauss, Gustav
Huch Reiner,2277,Scheffknecht Philipp,2152,DRAW
