PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Panteleev Petar,2306,Medvegy Zoltan,2516,BLACK
Dovzik Juri,2335,Fuchs Georg,2230,DRAW
Blaas Hansjoerg,2261,Menacher Manfred,2263,DRAW
Ager Josef,2167,Gruber Michael,2205,DRAW
Kondrak Christof,2165,Riediger Martin,2264,BLACK
Kuecher Wolfgang,2079,Binder Moriz,2044,DRAW
