PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Votava Jan,2524,Milanovic Danilo,2506,WHITE
Drabke Lorenz,2459,Platzgummer Fabian,2314,WHITE
Tabernig Bernhard,2350,Novkovic Julia,2110,WHITE
Kanonier Clemens,2112,Kupfner Franz,2178,BLACK
Kroell Johannes,2200,Gsteu Peter,2146,WHITE
Proyer Enno,1956,Schiestl Josef,2102,BLACK
