PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Roth Peter,2191,Froewis Georg,2422,BLACK
Novkovic Milan,2381,Juergens Klaus,2140,DRAW
Scheiblmaier Robert,2184,Atlas Dmitry,2177,DRAW
Sandholzer Robert,2192,Loeffler Christoph,2167,DRAW
Herrmann Michael,2115,Hofer Emilian,2046,BLACK
Kuntner Reinhard,1943,Pruell Lukas,1975,BLACK
