PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Krivoborodov Egor,2522,Doskocil Klaus,2251,DRAW
Eybl Alexander,2240,Westermeier Arnulf,2266,DRAW
Harringer Franz,2239,Sucher Johannes,2169,Harringer, Franz
Matt Stefan,2094,Besner Bernhard,2211,DRAW
Scheiblmaier Robert,2186,Lins Philipp,2044,DRAW
Nedelchev Nikolay,2008,Juergens Klaus,2161,Nedelchev, Nikolay
