PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Wegener Olaf,2441,Zelbel Patrick,2441,Zelbel, Patrick
Berchtenbreiter Maximilian,2384,Spornberger Maximilian,2347,Berchtenbreiter, Maximilian
Hengl Christian,2245,Nuber Blasius,2349,Nuber, Blasius
Wachinger Guenther,2233,Gatterer Florian,2223,Wachinger, Guenther
Moroder Stefan,2159,Niedermeier Thomas,2194,Niedermeier, Thomas
Meier Alexander,2186,Hoellrigl Wilfried,2153,Meier, Alexander
