PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Wegener Olaf,2441,Doskocil Klaus,2251,Wegener, Olaf
Eybl Alexander,2240,Spornberger Maximilian,2347,Spornberger, Maximilian
Hengl Christian,2245,Sucher Johannes,2169,DRAW
Matt Stefan,2094,Gatterer Florian,2223,DRAW
Moroder Stefan,2159,Lins Philipp,2044,Lins, Philipp
Nedelchev Nikolay,2008,Hoellrigl Wilfried,2153,Hoellrigl, Wilfried
