PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Nestorovic Nikola,2470,Doskocil Klaus,2251,Nestorovic, Nikola
Eybl Alexander,2240,Velickovic Zoran,2398,Velickovic, Zoran
Schramm Christian,2397,Sucher Johannes,2169,Schramm, Christian
Matt Stefan,2094,Pitl Gregory,2387,Pitl, Gregory
Durakovic Alman,2314,Lins Philipp,2044,DRAW
Nedelchev Nikolay,2008,Huch Reiner,2277,Huch, Reiner
