PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Nestorovic Nikola,2470,Spornberger Maximilian,2347,DRAW
Gatterer Florian,2223,Durakovic Alman,2314,Gatterer, Florian
Wieneroiter Gerald,2140,Spornberger Andre,2108,Spornberger, Andre
Hengl Christian,2245,Berger Kaspar,2051,DRAW
Prodinger Johannes,1911,Hoellrigl Wilfried,2153,Prodinger, Johannes
Jedinger Andreas,2105,Jakob Tobias,1883,DRAW
