PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Votava Jan,2524,Zelbel Patrick,2441,DRAW
Berchtenbreiter Maximilian,2384,Lanka Zigurds,2422,DRAW
Platzgummer Fabian,2332,Nuber Blasius,2349,DRAW
Wachinger Guenther,2233,Hausner Ivan,2332,Wachinger, Guenther
Tabernig Bernhard,2328,Niedermeier Thomas,2194,DRAW
Meier Alexander,2186,Kleissl Helmut,2295,DRAW
