PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Spornberger Maximilian,2347,Bertagnolli Alexander,2343,Bertagnolli, Alexander
Levushkina Elena,2299,Gatterer Florian,2223,DRAW
Hengl Christian,2245,Koepke Christian,2322,Koepke, Christian
Rusche Johannes,2274,Hoellrigl Wilfried,2153,Rusche, Johannes
Jedinger Andreas,2105,Neuschmied Siegfried,2246,DRAW
Kranewitter Norbert,2049,Babinetz Rainer,2011,Babinetz, Rainer
