PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Drabke Lorenz,2462,Krivoborodov Egor,2522,DRAW
Besner Bernhard,2211,Novkovic Milan,2380,DRAW
Schmidlechner Alexander,2217,Roth Peter,2119,Schmidlechner, Alexander
Juergens Klaus,2161,Ruescher Christian,2093,Juergens, Klaus
Proyer Enno,1906,Loeffler Christoph,2159,Proyer, Enno
Herrmann Michael,2103,Ausserer Felix,1901,DRAW
