PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Froewis Georg,2434,Kessler Luca,2324,Froewis, Georg
Bilchinski Anton,2260,Baldauf Marco,2420,DRAW
Amann Guenter,2347,Mittelberger Peter,2203,DRAW
Gauss Gustav,2182,Burschowsky Matthias,2208,Burschowsky, Matthias
Atlas Dmitry,2220,Gretz Denis,2073,DRAW
Natter Markus,2005,Uhlmann David,2082,Uhlmann, David
