PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Votava Jan,2524,Doskocil Klaus,2251,Votava, Jan
Eybl Alexander,2240,Lanka Zigurds,2422,Eybl, Alexander
Platzgummer Fabian,2332,Sucher Johannes,2169,Platzgummer, Fabian
Matt Stefan,2094,Hausner Ivan,2332,Hausner, Ivan
Tabernig Bernhard,2328,Lins Philipp,2044,DRAW
Nedelchev Nikolay,2008,Kleissl Helmut,2295,Kleissl, Helmut
