PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Doskocil Klaus,2251,Zelbel Patrick,2441,Doskocil, Klaus
Berchtenbreiter Maximilian,2384,Eybl Alexander,2240,Berchtenbreiter, Maximilian
Sucher Johannes,2169,Nuber Blasius,2349,Nuber, Blasius
Wachinger Guenther,2233,Matt Stefan,2094,Matt, Stefan
Lins Philipp,2044,Niedermeier Thomas,2194,DRAW
Meier Alexander,2186,Nedelchev Nikolay,2008,Nedelchev, Nikolay
