PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Wegener Olaf,2441,Krassowizkij Jaroslaw,2408,DRAW
Eisenbeiser Amadeus,2365,Braeuer Franz,2387,DRAW
Heinzel Olaf,2374,Anistratov Dmitrij,2305,WHITE
Mittelberger Peter,2203,Hengl Christian,2245,WHITE
Jedinger Andreas,2105,Quintero Ortega Carlos,2190,BLACK
Kranz Armin,2131,Hoellrigl Wilfried,2153,BLACK
