PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Votava Jan,2524,Krivoborodov Egor,2522,DRAW
Westermeier Arnulf,2266,Lanka Zigurds,2422,Lanka, Zigurds
Platzgummer Fabian,2332,Harringer Franz,2239,DRAW
Besner Bernhard,2211,Hausner Ivan,2332,Besner, Bernhard
Tabernig Bernhard,2328,Scheiblmaier Robert,2186,DRAW
Juergens Klaus,2161,Kleissl Helmut,2295,Kleissl, Helmut
