PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Froewis Georg,2434,Bertagnolli Alexander,2343,Froewis, Georg
Koepke Christian,2322,Baldauf Marco,2420,Baldauf, Marco
Studer Noël,2405,Levushkina Elena,2299,DRAW
Prediger Ruppert,2279,Amann Guenter,2347,Amann, Guenter
Gaertner Guntram,2226,Rusche Johannes,2274,Rusche, Johannes
Maurer Jochen,2254,Atlas Dmitry,2220,Maurer, Jochen
