PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Zelbel Patrick,2441,Nestorovic Nikola,2470,DRAW
Durakovic Alman,2314,Berchtenbreiter Maximilian,2384,Durakovic, Alman
Wachinger Guenther,2233,Pflug Mathias,2259,DRAW
Wieneroiter Gerald,2140,Meier Alexander,2186,Wieneroiter, Gerald
Hajdarevic Dino,2135,Huber Wolfgang,2007,Hajdarevic, Dino
Jakob Tobias,1883,Georgiev Georgi,2107,DRAW
