PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Wachinger Guenther,2233,Schramm Christian,2397,DRAW
Durakovic Alman,2314,Niedermeier Thomas,2194,BLACK
Hajdarevic Dino,2135,Seyb Alexander,2427,DRAW
Frank Emanuel,2178,Meier Alexander,2186,DRAW
Heinrich Thomas,2144,Wieneroiter Gerald,2140,WHITE
Prodinger Johannes,1911,Georgiev Georgi,2107,BLACK
