PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Medvegy Zoltan,2526,Krassowizkij Jaroslaw,2408,DRAW
Eisenbeiser Amadeus,2365,Konnyu Janos,2339,WHITE
Dovzik Juri,2303,Anistratov Dmitrij,2305,DRAW
Mittelberger Peter,2203,Webersberger Johann,2376,DRAW
Ager Josef,2109,Scheffknecht Philipp,2152,BLACK
Kranz Armin,2131,Riediger Martin,2262,BLACK
