PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Novkovic Milan,2381,Ager Josef,2167,WHITE
Riediger Martin,2264,Kessler Luca,2238,WHITE
Atlas Dmitry,2177,Spiesberger Gerhard,2098,DRAW
Kuecher Wolfgang,2079,Sandholzer Robert,2192,DRAW
Kuntner Reinhard,1943,Fruehauf Norbert,2055,DRAW
