PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Serafimov Tervel,2425,Roth Peter,2191,DRAW
Harringer Franz,2264,Graf Felix,2482,BLACK
Dobosz Henryk,2371,Juergens Klaus,2140,WHITE
Scheiblmaier Robert,2184,Bezler Rainer,2212,DRAW
Matt Fabian,2191,Loeffler Christoph,2167,DRAW
Pruell Lukas,1975,Poettinger Harald,2224,DRAW
