PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Sergeev Vladimir,2421,Zelbel Patrick,2395,DRAW
Bertagnolli Alexander,2333,Mittelberger Peter,2264,DRAW
Leutwyler Martin,2159,Neuschmied Siegfried,2221,DRAW
Steinbacher Thomas,2116,Novkovic Julia,2110,BLACK
Scheffknecht Philipp,2124,Anibas Juergen,1989,BLACK
Atzl Florian,1824,Gsteu Peter,2146,DRAW
