PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Medvegy Zoltan,2526,Hertneck Gerald,2465,WHITE
Kaspret Guido,2308,Konnyu Janos,2339,DRAW
Riediger Martin,2262,Wuppinger Manfred,2073,WHITE
Kuess Mario,2010,Knechtel Roland,2258,BLACK
Spiesberger Gerhard,2054,Egger Martin,2061,BLACK
Baier Patrick,1954,Kuecher Wolfgang,2077,DRAW
