PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Zelcic Robert,2553,Eybl Alexander,2240,Eybl, Alexander
Doskocil Klaus,2251,Krstic Uros,2428,Krstic, Uros
Brumen Dinko,2359,Matt Stefan,2094,Brumen, Dinko
Praxmarer Christian,1992,Stajner Samo,2351,Stajner, Samo
Ljubic Juro,2213,Nedelchev Nikolay,2008,DRAW
Kimpel Janine,1765,Stoeckl Norbert,2094,Stoeckl, Norbert
