PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Eybl Alexander,2240,Spornberger Maximilian,2347,Eybl, Alexander
Gatterer Florian,2223,Doskocil Klaus,2251,Gatterer, Florian
Sucher Johannes,2169,Spornberger Andre,2108,Spornberger, Andre
Hengl Christian,2245,Matt Stefan,2094,Hengl, Christian
Lins Philipp,2044,Hoellrigl Wilfried,2153,DRAW
Moroder Stefan,2159,Nussbaumer Leon,1890,Moroder, Stefan
