PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Durakovic Alman,2314,Studer Noël,2405,Studer, Noël
Amann Guenter,2347,Pitl Gregory,2387,Pitl, Gregory
Velickovic Zoran,2398,Burschowsky Matthias,2208,Velickovic, Zoran
Gaertner Guntram,2226,Wieneroiter Gerald,2140,DRAW
Prodinger Johannes,1911,Atlas Dmitry,2220,Atlas, Dmitry
Hofer Emilian,2219,Jakob Tobias,1883,Jakob, Tobias
