PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Palac Mladen,2581,Votava Jan,2524,Palac, Mladen
Lanka Zigurds,2422,Zelcic Robert,2553,Lanka, Zigurds
Krstic Uros,2428,Platzgummer Fabian,2332,Platzgummer, Fabian
Hausner Ivan,2332,Brumen Dinko,2359,Brumen, Dinko
Biti Ozren,2353,Tabernig Bernhard,2328,DRAW
Kleissl Helmut,2295,Stajner Samo,2351,DRAW
