PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Drabke Lorenz,2462,Palac Mladen,2581,Drabke, Lorenz
Zelcic Robert,2553,Vogel Roven,2408,Zelcic, Robert
Novkovic Milan,2380,Krstic Uros,2428,DRAW
Brumen Dinko,2359,Schmidlechner Alexander,2217,Brumen, Dinko
Klocker Benedikt,2192,Biti Ozren,2353,Klocker, Benedikt
Stajner Samo,2351,Leutwyler Martin,2190,DRAW
