PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Roth Peter,2191,Arnaudov Petar,2451,DRAW
Schenk Andreas,2493,Harringer Franz,2264,DRAW
Juergens Klaus,2140,Huch Reiner,2334,DRAW
Pflug Mathias,2298,Scheiblmaier Robert,2184,DRAW
Besner Bernhard,2201,Wieneroiter Gerald,2156,DRAW
Huber Wolfgang,2046,Loeffler Christoph,2167,BLACK
