PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Bayer Bernhard,2444,Lanka Zigurds,2432,DRAW
Kleissl Helmut,2291,Fuchs Georg,2230,DRAW
Blaas Hansjoerg,2261,Platzgummer Fabian,2314,BLACK
Tabernig Bernhard,2350,Gruber Michael,2205,DRAW
Kondrak Christof,2165,Kupfner Franz,2178,DRAW
Schiestl Josef,2102,Streiter Gerhard,1993,DRAW
