PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Arnaudov Petar,2451,Palac Mladen,2561,WHITE
Krstic Uros,2439,Schenk Andreas,2493,WHITE
Pitl Gregory,2397,Biti Ozren,2376,WHITE
Brumen Dinko,2358,Huch Reiner,2334,WHITE
Pflug Mathias,2298,Ljubic Juro,2227,WHITE
Huber David,2122,Huber Wolfgang,2046,DRAW
