PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Krassowizkij Jaroslaw,2408,Berchtenbreiter Maximilian,2384,WHITE
Nuber Blasius,2349,Eisenbeiser Amadeus,2365,WHITE
Anistratov Dmitrij,2305,Niedermeier Thomas,2194,WHITE
Hajdarevic Dino,2135,Mittelberger Peter,2203,WHITE
Quintero Ortega Carlos,2190,Meier Alexander,2186,DRAW
Sucher Johannes,2169,Kranz Armin,2131,WHITE
