PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Palac Mladen,2581,Nestorovic Nikola,2470,DRAW
Velickovic Zoran,2398,Zelcic Robert,2553,DRAW
Krstic Uros,2428,Schramm Christian,2397,Krstic, Uros
Pitl Gregory,2387,Brumen Dinko,2359,DRAW
Biti Ozren,2353,Durakovic Alman,2314,DRAW
Huch Reiner,2277,Stajner Samo,2351,Huch, Reiner
