PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Votava Jan,2524,Zelcic Robert,2553,Zelcic, Robert
Krstic Uros,2428,Lanka Zigurds,2422,DRAW
Hausner Ivan,2332,Brumen Dinko,2359,Hausner, Ivan
Stajner Samo,2351,Tabernig Bernhard,2328,Stajner, Samo
Kupfner Franz,2200,Ljubic Juro,2213,Kupfner, Franz
Stoeckl Norbert,2094,Schiestl Josef,2128,Schiestl, Josef
